Review #,Rating,Year/Month,Reviewer Location,Review Title,Review Text
15,2.0,Feb 2021,"Tianjin, China ",When profits are the magic,"We have moved back to China, now living in Shanghai after many years in the north.Went to Disneyland with the kids (8 and 6 years old) a well as my wife’s sister and dad.While we are quite experienced to crowds, Disneyland goes the little extra yard to ensure the full experience of waiting in lines, being pushed, wasting time and at the same time feeling that the whole thing is setup with only one purpose, namely, to get the last RMB out of your pockets before you leave.It was to be honest not a very pleasant trip and while my wife and I fast agreed that now we have visited this place once and sworn never to come back, it was more surprising that the kids during the day also started to complain. My wiffe’s dad? He left at 6:30 pm as he could not stand it anymore (old grumpy man! :-))The good•	Overall clean and nice environment•	Some parts of the park were not too overcrowded (comparing to Chinese standards) so walking around between the different worlds was manageable.•	While we did not try very many rides due to waiting in-line, the TRON Lightcycle Power Run was fun (if you can absorb the 50 min wait and further 20 min wait due to a break down)•	The fireworks/light show was impressive (if you can absorb the wait time and the pushing and shoving)•	Easy to get to, Shanghai Subway runs to the door.The bad•	Pricing. It is obviously not cheap. Please note that the price anchor in China for such things are set high so you will have to pay, which we expected, but again Disneyland just goes that little extra yard to ensure your pockets are completely swiped when you are gone. Entrance price, while not dirt cheap was not really excessive (we paid RMBB 499/adults, 399/children which is ok), however they go to great length to ensure you end up paying extras.•	Food, you must buy food and drinks inside. They have a security check before ticket purchase with the aim to swipe foods from those who brings it (we did not). It adds an extra 30-40 minutes wait-in-line to the experience and we saw quite a few that god food confiscated…my bad feelings started just there. Inside prices are excessive, particular when comparing to standard Chinese prices which on food are low. I will not do a full price list of horrors here, but let me put it this way – I originate from Scandinavia which is by most people (and by facts) considered expensive. In Disneyland their corndog/hotdog on stick like thing was priced with a +100% premium of what a hotdog runs me back in Denmark…so be warned!•	Stores and restaurants are all over and take up a considerably part of the part, in fact in hindsight there are actually only a few attractions given the size of the complex and not lest given the number of visitors they admit in.•	Which leads me the next profit maximizing item, the “jump the line pass”. Having assured that all fun rides are cramped, Disneyland has studied the book “The confessions of the Pricing man” on how to ripe the benefits of this in setting prices that allows you to skip the lines they created. After we arrived and discovered the waiting times for the rides we briefly considered buying one of the skip-the-line passes, but they ran at RMB 1,000 per person (2x adult entrance fee, 2½x children entrance fee) and could maximum be used 8 times! (that is an extra RMB 125 per ride). To be fair they had a whole price range for various skip-the-line passes with allowance for fewer rides, but the price per ride of these were same (actually slightly higher). You come to the suspicion (extremely fast) that it is all a well/evil planned profit maximizing scheme.The uglyWhile everyone that lives in, have lived in or just have been to China knows, crowds are plenty and all over, and this is an integrated part of live, planning and society setup. So having large crowds in Disneyland was be no means any surprise.However, it seemed to have surprised the planners as the number of attractions and particularly the capacity of these by no means matched the number of people let into the park at once.We arrived when the park opened, admittedly go were not in until at least 50 minutes after due to the food swiping exercise at the entrance, but on the advice of my wife’s sister we headed straight to the Soaring over the Horizon ride only to discover that the waiting time was….3 hours! (to be honest I though they were playing me a joke, but no). They had a standby pass system on the app which allows to the reserve time for waiting later…it does not allow you to arrive at a certain time and then avoid waiting. But that system suffered under crowd pressure as well. I managed to make one booking (for myself) but once I tried to add my wife, children, wife’s sister no more time slots were available…and that was that! (not even mentioning since we were six incl. my wife’s dad and the system only allowed groups up to five it was a bit useless for us)After the initially frustrations we then decided to get the best out of the day and try as many rides as we could. We tried the Roaring Rapids (60 mins wait), the Dwarfs mining Train (45 min wait), Rex Riders (90 min wait), TRON power race (50 mins wait + 20 mins break down wait) and the Pirates of the Caribbean Battle (45 min wait) plus my children tried the Dumpo ride, the shipwreck, saw a couple of the characters standing within fenced areas and the youngest also went to the sign along with Elsa/Frozen while the oldest was doing the TRON race. Particularly the Rex Riders was a complete joke. It had a capacity of 20! Low and behold! I guess the person coming up with that idea have never been to China before, at least he did not coordinated with the guy planning for how many to let in on any given day. We also decided to see the 8pm fireworks/lightshow and was advised to be there no later than 7pm if the children should have a chance to see it. We ended up waiting 1 hour and 15 minutes for the experience and as time passed more and more people showed up ending in constant pushing, shoving and being in constant physical contract with at least the nearest 3-4 people around you (Ironically the recorded announcer was every 15 minutes welcoming people to the event and telling them to keep social distancing and not blocking other people view…yeah right, maybe if you let 10,000 less people in it would be possible). The had reserved areas which had no people but these were for the people selling snacks, obviously! The really scaring part of the visit came when the show ended as the masses then started to leave. We we quickly decided to carry both children on held each other’s cloth not to lose each other in the black sea of people. It was insane (even for Chinese standards) one step in the wrong direction and we would not have found each other again. So flowing with the masses we (luckily) had to go the exit and the metro station because that was where the masses few to. To think this is a place for children!We came to the place around 8:40 am and left around 8:30pm. A full 12 hours, I tried 4 rides, my children maybe 6 maybe 7, we ate once while sitting, we ate a bit while walking, we saw the parade and besides walking from place to place we spent the rest of the time waiting in line.So be warned, it is a multi-billion dollar brand and by this alone they will attract enough visitors but the experience was noting close to magic, unless it is magic to wait in endless lines and get pushed and shoved.I ranked it, very generously, two starts, due to the parts mentioned under “the good”, but price and value experience does simply not match up. As a benchmark we in the summer had visited both Tivoli Gardens and Bakken amusement parks in Copenhagen, which are both high recommendable. Here the children tried rides all the time (at Bakken my oldest and I managed to run out of rides on the old wooden roller coaster on our access pass, which meant 10 rides on that ride alone). All within the same time spend and at total price that was half to a third of what we spent at Disneyland and with a much cozier atmosphere. The final curiosum is that Walt Disney actually build his Disneyland based on the Tivoli Gardens in Copenhagen after he had visited the park back in the 50s. His successors have failed miserably with that task in Shanghai."
16,5.0,Jan 2021,Cheongju ,A Fun Day,"Not much to say that hasn't already been said here, but if you're considering going around this time, definitely do it! We visited on January 6th (a Wednesday) and did not need to wait for a single ride! There are quite a few shows to watch throughout the day and quite a few good rides for adults. You can't miss TRON! If you aren't sure whether you'd like to visit or not, you can download the app now to monitor the wait times around the time you plan to visit. From our experience keeping an eye on the waiting times in the app before our trip:If you go during a more busy time of the year, I recommend getting there before the park opens and running straight to Soaring over the Horizon first as it seems to always have the longest wait time. The lines seemed to dwindle down at the very end of the day (after 6:30 pm), as well, if you can save your energy until then."
17,2.0,Nov 2020,"Beijing, China ","You can go, but do not let the attitude of the service people bother you.","I have been there once before and wanted to take my husband there. I wanted to try out the subway. The subway was easy and fast. Not too hard to find the right gate to get out. Signs were not the best but one can ask and figure it out.My disappointment was at the check point of the park, three "" Happy Host""s were not knowledgeable and unfriendly, they were not happy and not helpful and had no clue how to help, very disappointed for a fun place like this.They did not direct us to the right direction, they simply disappeared. We went around to look for the right gate to enter for a while.  They re rounted ppl due to Covid and did not bother to direct the guests.Same experice with the ticket counter lady, the gate employees, no one was happy, no professional smile,  not to mention being cheerful. sad to see.  And not helpful. They are just not happy to see the guests.The cleaning lady at the Treasure was helpful thoguh, I appreciate that.I had fun dispite this, because the Covid, less ppl at the park, less wait, much faster for the lines. Ate at the Cheesecake Factry, that was nice and noted the ppl also are not very friendly."
18,4.0,Dec 2019,"London, UK ",Magical day,"We had a magical time at Shanghai Disney. I would highly recommend it to anyone looking to feel like a kid again or have a great time with their loved ones.We bought the fast passes which was so worth the money being a group of 9 people it really helped us get the most out of our day.The staff were friendly and the premises/toilets clean.The only problem for us was that the stories/instructions for rides were all in Chinese- they should add in the English translation.All in all a great day was had, not even the rain stopped us!"
19,4.0,Sep 2020,"Bangkok, Thailand ",Never  disappoints,"Good place to visit especially for couples and families. Various different activities compared to Hong Kong Disneyland and Los Angeles Disneyland.  A fun place to be  to spend the whole day. The place is very far from the city so it's better to go early.  A very important advise is to choose a weekday and a day where not many people would show up or else you would wait for hours just to enjoy 1 ride.  Comfortable clothes and shoes are important as the place is huge.  Don't carry any glassware,  food as they will ask you to store it in their locker.  Well compared to Hong Kong Disneyland and the one in Los Angeles the customer service is not great.  Staff don't smile and looks very serious whereas in other Disneyland properties all the Disney staff are smiling and dancing.  "
20,5.0,Dec 2019,"Beijing, China ",Great time. ,"Really enjoyed Disney in Shanghai.  Been to the one in Florida too,  they are on par.  Well organized and controlled.  The obvious crowds but you never feel crowded.  Transport easy to and fro. Very clean as always.  Nice rides,  especially Tron and Pirates of the Caribbean. "
21,5.0,Dec 2019,"Shenzhen, China ",Funfilled & unforgettable Disney Experience,Beautifully constructed with amazing and thrilled rides......unforgettable Disney experience need 2-3 days to visit and experience best weather to visit is WINTERS
22,5.0,Aug 2019,"Perth, Australia ",I would go  everyday if I could,"What an amazing experience. While visiting the park, we stayed at Toy Story Hotel who were great in giving us advice on how the park operates as far as early entry, fast pass, and so on. We spent some time the day before visiting the park looking around Downtown Disney, and getting a bit of a lay of the land, which helped us over the following days. On our first day in the park, the weather turned bad, as unbeknownst to us there was a typhoon on the way. This meant the large crowds all rushed to spots for protection, which became frustrating. The bad weather forced the closure of many of the rides. The park emptied out, which meant lines that were normally an hour wait were 10 minutes or less, so we pushed on through and took the weather as part of our Disney experience. Within the park there was always a cast member no too far away to help out, and all had a good understanding of English. Due to the typhoon that hit Shanghai, the park was closed for the day that was to be our second day at the park, but the staff transferred all of our fast passes  and entry, and we had no obstacles getting into the park and enjoying it again the following day which was a hidden blessing as the crowds had dwindled down quite a bit. Too many individual highlights to list, but Soaring Over the Horizon, Pirates Of The Caribbean, and Seven Dwarfs Mine Train were right up there.  I would definitely visit again if i was able to, and would recommend it to anyone, of any age"
23,5.0,Jul 2019,"Phoenix, AZ ",The castle is amazing,"We purchased our tickets for Disneyland via Klook for a discounted rate around 75 USD each for peak times. For any international visitors you need to have your passport verified as they scan you in. There are plenty of areas to hangout and get photos of and around the castle as opposed to in Disneyland in Anaheim. However, we didn’t really find many cast members that day who take pictures or are around if you have questions. We love to eat so we enjoyed the different foods. We would recommend getting the Donald Waffle and cherry blossoms ice cream, checking out the pastries at Remy’s cafe, trying a barbecue turkey leg near pirates, and the food court in Pinocchio village. Of the rides we would suggest going on Pirates and Tron. We also highly suggest checking out the Tarzan show which is unlike any other Disney show. Because there aren’t many rides at the park the lines are long. They offer traditional fast passes but they sell out very quickly. The day we went all fastpasses for all rides were gone by 1PM. After that you can purchase fastpasses per ride or buy a pack for a handful of rides. On average each fastpass will cost around 10 USD. Lastly, the park unfortunately closes early so they have their main nightly show at 8:30PM and close the park at that time. This show much like the rides incorporates a lot of augmented reality and lights as opposed to a traditional firework show but we really enjoyed the change. For our first Disney experience outside of the US we had a great time and can’t wait to see other parks!- @wanderingwithustwo"
24,5.0,May 2020,N/A,Nice to be back!,"This is our first time back since COVID-19. The park was closed for more than 3 months. Local authorities have imposed a 30% capacity limitation for social distancing reasons. As such, you must first book a slot ahead of your arrival. Else, you will be politely turned away at the door as they are likely to have issued out all the tickets before the day itself.Despite the restrictions, the park still felt pretty crowded (30% would equate to 12,000 people). There are clear markings on the floor to encourage social distancing. Their staff are also at hand to remind visitors to keep a safe distance from each other.All in all, it’s nice to be able to be on the happiest place on earth despite COVID-19."
25,5.0,Dec 2019,"Singapore, Singapore ",happiest place in Asia,The world's happy place. The price from Viator  is cheaper than the actual counter. It is very convinient to book on the spot as well. You can bring food in. Better than Hong Kong Disneyland. Go in later so you can spend more time until the closing hour fireworks. Thabk you for the good price. Really appreciate the effort to secure good rates. You will need to bring your passport to key in for the tickets.
26,5.0,Dec 2019,"Metro Manila, Philippines ",A Great One Day Experience,"Contrary to much attention the park received from international media, I personally did not have any negative experience with other park visitors, especially from locals. There wasn't any cutting in line or ""rude"" behavior. There was one man smoking in a non-smoking area, though. A cast member immediately asked him to dispose of his cigarette .Pros:- Unique rides and Disney park experience- Rides are fun and diverse enough for varying interests- Interesting food options- Beautiful castle- Can converse with most staff in English- Park is large, but can be explored in one day- Free all-day wifi throughout the parkCons- As usual with Disney parks, food and merchandise are very expensiveTips- Downloading the Shanghai Disneyland app on your phone prior to your visit is a MUST. Helped us get around the park and plan out which rides we would do at specific times (the app shows the waiting time for all rides and shows in real-time and you can also use it to get your free fast passes).- GET FAST PASSES! Use the app to get them, especially for high-demand rides. - The Tron ride is a must-try. - There is an area just outside the park (Still part of the Disney property) with many shops and restaurants. You may find good cheaper options for dining here. Re-entry into the park is allowed! Just don't lose your ticket."
27,5.0,Apr 2019,"Port Saint Lucie, FL, ",Huge Castle!,"Shanghai Disneyland was the “anchor” for our trip to Shanghai and we had a great day.  We visited not long after the Chinese New Year, and made sure we went on a weekday to avoid the crowds.  Because we only had one day at the park and we wanted to maximize our time, we purchased Concierge Services which gave us access to a number of rides without having to wait in line.  We missed that we needed to enter via the Disney Grand Theater, which is in Disneytown.  We ended up in a somewhat long queue to enter the park and then had to exit to get our special tickets at the theater as the entrance to the theater within the park was not open.  The park was not crowded the day we went, so we didn’t really need the special ride access, but it also gave us access to special viewing areas for the parade and fireworks/light show.  Access to those areas was great, and they enforced access!  We rode Tron twice, and I recommend riding at night if you can.  The castle is huge and you can go up in it. They have some rides that are the same as in the US parks, and some different ones.  We noticed a lot of space for expansion and the manager of the concierge lounge at our hotel told us there are plans to build three more parks, which would make Shanghai Disneyland larger than Walt Disney World!We took a taxi from our hotel and the doorman told the driver where we wanted to go, and she got us there, but had to stop several times to ask for directions to the drop off area.  I had a card from our hotel with the address written in Chinese so we could give to a taxi driver on our return.  I was a little worried that we might have problems getting a taxi at the end of the night, but there is a large taxi pick-up area and our driver had no problem finding our hotel.  "
28,5.0,Apr 2019,"Mexico City, Mexico, ",Happiest place on earth,"Amazing syncretism between the Disney experience and the East, specifically the chinese culture. Here you will notice many many differences compared to other parks, but at the same time, everything is familiar.I don't speak Mandarin and it can be frustrating or challenging at some times, since not many things are in English... but it adds an exotic touch to your visit. By far, is the best Disney ever built. Tomorrowland is out of this world."
29,5.0,Jan 2020,"Chandler, AZ ",Shanghai Disney,We surprised our daughter with a visit to Shanghai Disney. It was AMAZING!! Our favorite ride was the Tron ride. We got on it multiple times because we don’t have that ride in the U.S. I love the fact that Shanghai Disney gives a fast pass every hour for different rides. We enjoyed our time. I would go back during warmer weather.
30,4.0,Dec 2019,"Java, Indonesia ",One day to spend...,"First of all, try to be here before their opening time at 9 to avoid long queue. I can't imagine if it's summer. I went with my kids in winter, less crowds, BUT least I expected, it was a bit of long queue on 25th Dec since it is a holiday in Shanghai. But still manageable. Get the map online to help u navigate the area. All in Chinese language. Expect long queue in main attractions like the tron, seven dwarf, slinky dog. Tron is the longest I waited for 1.5-2 hour as well as the seven dwarfs. Bring raincoats, umbrella if u go in winter. Occasionally there will be light showers. Jack sparrows, Peter pan, Winnie the Pooh, are great. There are restaurant, souvenirs shops, rest room. Quite disappointed with some sellers try to sell fake Disney souvenirs on the way out. Overall it's great time to spend with kids& family. My kids had a blast day. Tips: bring snacks/foods, so u can eat it while on long queue. This enables u to enjoy almost all rides. Winter is less crowds, but avoid on Christmas day 25th."
31,5.0,Jan 2020,"Shanghai, China ",Disney! ,"I have been to Shanghai Disney many times and I love it. It's very busy, but what can be expected from Disney. The rides are fantastic. Make sure to download the app and add your ticket once you get into the park as that will be how you get your fast passes."
32,4.0,Oct 2019,"Bangalore District, India ",Disneyland shanghai,"Disney Shanghai has new experiences particularly pirates of the Caribbean ride, it is an excellent merging of east with west offering western hospitality with eastern culture"
33,5.0,Dec 2019,"San Francisco, CA ",A scenic theme park,"Comparing this Disneyland with the one in Anaheim, it is very different.  It does not have the same rides, and there are more scenic areas for photos.  The best attractive is Pirates of the Caribbean.  It is a lot of fun.  The best time to go is to get in early then you can get all the pictures taken without crowds waiting for their turn."
34,5.0,Jan 2020,"Shanghai, China ",I love Disney!,"A brilliant park and one to tick off the list if you’re a massive Disney fan! Because it was only built in 2016 it still has a crisp sense of newness, however, please be aware that a lot of the cast members don’t speak English well so you might need a translation app if your Mandarin isn’t up to scratch!"
35,4.0,Oct 2019,N/A,People can be judgemental,they just give you one look then say oh your race is blah blah blah.The service is good but their friendliness to adults of African descent isn't the best.
36,5.0,Oct 2019,"Luton, UK ",Amazing experience ,"Firstly, you need to understand that if you are going to almost any theme park it will generally be very busy. Usually I always expect Disney to be busier and this was no exception, would I have liked it to be quieter? Of course! But who wouldn’t? The park itself is very big but seems to be pretty well spread out which may just be to give more freedom for new rides in the future. The rides were amazing especially those which are not currently at any other park e.g. Tron. One of my favourite rides was the Voyage to the Crystal grotto which I would recommend riding twice as a minimum (day and night). Our overall experience was great there were a couple of things which we noticed which aren’t necessarily the parks fault. 1) vegetarian food. Within the park itself the options are limited, we walked from restaurant to restaurant to try and find a vegetarian meal to be told they didn’t have any in at the moment and to try another restaurant, unfortunately even Disneytown didn’t have options, aside from Bread Kitchen which ended up saving myself in particular. I did have the vegetarian burger meal from the stargazer grill which was okay but not great, possibly personal tastes however. 2) general etiquette - people visiting the park had no issue trying to cut queues and a few times we witnessed parents encouraging their children to go to the toilet in a plant when the toilets were a couple of feet away, this is likely cultural.I would recommend getting to the park early, making sure you have the app downloaded and passes scanned in to get your fast passes booked as we found these were gone by around midday. Make sure you take a camera to get pictures of all the little details dotted around the park. The fireworks/projection show on the castle is a must but you need to get in front of the castle at least 30-60 minutes before as people start getting their spots early. Shanghai Disney offer a “Passport” which you can purchase and then go area by area to collect stamps, although aimed at children I am 26 and enjoyed doing it, once you have collected all the stamps you can then take this to the specified shop on Mickey avenue and you get a prize (mine was a Tron Pen) and keep the passport with your completion stamp which just makes for a cute memento from the trip. We did find that most of the stamp machines were broken however if you went into the closest shop they had manual stamps. The only thing we didn’t see much of was character meet and greets dotted around which from Florida, Paris and Hong Kong these tended to be initially at the entrance and then in specified areas of the park.Do not let a few reviews stating the obvious of the park being busy put you off as we found it enjoyable despite the crowds. A trip to Disney is always a good idea!"
37,5.0,Jan 2020,"Kuala Lumpur, Malaysia ",Disney Shanghai,"Super! Will come again. First time to Disney land, wonderful experience for kid n family. Game is super but need to take long time for one game. Food was a.bit expensive but was nice"
38,3.0,Jan 2020,N/A,Not the best not the worst ,"The park overall is beautiful and well played out. However there are some small things that could be improved. In order to make full use of the park you will need to download the disney app and connect to the wifi. This way you can use the map to plan your route around and buy fast pass tickets. Unfortunately we found the wifi very difficult to access not having a chinese number and was unable to access all these features. The rides vary in quality. The pirates of the Caribbean was one of the best experiences I've had in a park before I was completely blown away by it. I also really enjoyed the tron attraction too, which is the fastest attraction disney offers. However the final attraction we did soaring over the horizon was terrible. We started off by waiting outside in the rain with no cover to then have to line up around 2 hours for the attraction damp. You can see everyone struggling and people sitting on the floor because their legs and feet are hurting. When we finally got to the attraction there was only english subtitles for the safety instructions not the whole story of what the attraction was for (if they could subtitle the H&S I dont see why they couldn't the rest of the video)so we didnt really know what was going on. Then whilst on the attraction the whole left side of the screen was blurry and it just felt a shame to have waited such a long time for this attraction. If youd like to get fast passes doe this I would reccomend buying them in advance as they sell out very early on. I have previously been to universal and found all the staff to get into character really well and really sell the belief you're in the world of Harry Potter ect however the staff here didnt have that same magical feel. The lights show on the castle at the end of the night was a MUST DO!. It was completely mesmorising seeing the lights and fireworks over the castle. It's worth getting to the castle at least 30 mins before the show starts as the crowds of people will stand and wait before the show to get the best view. I think the park is worth seeing as it's not expensive for tickets however I compared the whole day to universal and completely favoured universal as a day out. "
