Review #,Rating,Year/Month,Reviewer Location,Review Title,Review Text
11,5,21-Apr,N/A,Excellent!,"Tokyo Disneyland is truly the happiest place on Earth. It was my first visit to Disneyland, and I was truly impressed by its magic. The cast and the flow of each event are very entertaining. Rides, shows, foods are superb!The I hope Japan will soon be open for tourists, can’t wait to visit Osaka’s Universal Studios 🧙‍♂️ and the Tokyo Disney Sea 🧞‍♀️"
12,5,21-Apr,Japan,Great as expected! ,"Glad to visit! ... not so many people on Sunday 4th, 2021. Only 10-30 mins waiting time. But I felt both standby pass and entry request weren’t effective at all. The attractions which needed standby passes were super-crowded at the standby passes times and were completely barren at the rest of the day. I could get 4 or 5 (attractions and entry requests in total). And by noon all attractions and rides....etc. were unavailable. So in my opinion, this new system wasn’t made for COVID-19. In addition, using smartphones and APP at the park for mostly all the day made me so busy that I couldn’t fully enjoy with my family."
13,5,20-Nov,United States,Day After Engagement,"My fiance, her best friend and I went here the day after we got engaged during our 13 day trip through Japan. We went early on a Monday, November 4th but it was still packed. My pro tip is to purchase your tickets from the 7/11. You can use the ticket/coupon machine near the front to purchase. Their is a YouTube video that explains in detail if you have trouble.Also, most kids leave by 8/8:30 giving you about an hour and a half of little to no lines while waiting. If pressed for time, just got later in the day. Loved it!"
14,5,20-Oct,Malaysia,Really Happy,Ouh mh godd!!! We are veryy love this placee so so so so make me hapyyy with my friends we love to see Mickey mouse and more again 😆😆
15,1,19-Nov,Singapore,Racial Discrimination,"I brought my daughter to Tokyo Disneyland. Although this was not our first visit, it was however, our first attempt to wanting to take a picture with the mascots, in particular, Cinderella’s Fairy God Mother. Never In my wildest dream did I expect racial discrimination from the well known and loved Japanese hospitality. The Fairy God Mother and her attendants literally bypassed us when it came to our turn after queueing. Not once, but throughout the entire allocated time, only picking the Japanese guests. We were thoroughly shocked and traumatised by this outright display of discrimination. The representatives had shattered a child’s dream of a kind fairy god mother and the image of Disneyland, where dreams come true in the Land of Happiness. It was simply heartbreaking.I was trained in the service industry with a Japanese Airline previously as cabin crew, and I understand fully well the importance of customer satisfaction in the Japanese context. Disneyland Tokyo totally lacked professionalism in this aspect.  This incident had been extremely disappointing and had left us with a very bitter aftertaste."
16,4,20-Mar,Poland,As good as the real thing,"We have been to the Disney park in USA and I have to say, we enjoyed this just as much. All the rides are also duplicates of the American rides. Rollocaosters galore, and great live entertainment. Very fun."
17,5,19-Dec,Singapore,Indeed the Happiest Place on Earth!,"Both kids and adults will love this place! I didn’t think I will enjoy as much as I did! I was even a little bit emotional, nearly cried(tears of Joy!) when the parade started! Haha! The lights parade was amazing! We traveled in Dec 2019 and I’m just writing this review now so I actually don’t remember the rides that we took but I still remember the joyful feeling. Even just strolling the place was great! ❤️The only downside when we were there is that the Disney castle was closed. So that’s sad but overall still a great experience! "
18,3,20-Sep,France,It’s a small world ,"The overall experience is what you can expect from Disneyland parks except a few things...First - impossible to buy a ticket online of you don’t own a japanese bank card. We live in Japan right now but own a french bank card (VISA). Contacted the customer service, but no solution was proposed and we had to contact a ticket booker and pay more to get tickets. Surprising as it’s Disneyland.During our day in the park, we had some weird experiences. When in lines, we constantly got interupted by staff asking to stay on floor marks to respect social distancing (we were respecting social distancing and it was obviously meant to make us feel uncomfortable...).In the haunted mansion, I stopped just a few seconds in the stretch room to have a quick look at the decor. Immediately, the staff lady ran to me and asked me to move away and to keep walking. (Making the « move away » gesture with her hands). As if I was doing something really really bad.Same happened in Big thunder moutain.At night, during the parade, as we got closer to the show, a staff lady in charge of social distancing stopped us (she litteraly blocked me by standing before me). Only us. When I asked why. She answered « please stop ». I asked again. She answered « social distancing ». People were keeping on passing by / watching the show but us two had to walk back. No effort were made to communicate in simple japanese or english...I am more than concerned and thankful for all the work they are doing right now with the covid situation. But it shouldn’t allow weird / unfair behaviors that make us feel as bad or very rude people... Anyway, that’s the first time in my life I feel embarrassed in a disneyland park.It’s a small world after all - but behave with caution if you are a foreigner right now (and even if it’s your birthday 👍🏻)"
19,5,19-Nov,United States,Bigger Scale Version of California's Disneyland,"All the things you love about US Disneyland, but BIGGER. I definitely felt like I could find my way around because I'm familiar with California's park. But Tokyo Disneyland does everything bigger. I love the Nostalgia of the old Country Bear Jamboree show still existing, the Swiss Family Robsinson tree still intact, the Cinderella version of the Castle. All the buidlings, walkways, lands are just larger, more updated. It's a fantastic park, and easy access from DisneySea."
20,5,19-Jul,United Kingdom,Great Disney Park,"Its not big, about the size of Disneyland Paris, you will see  a lot of familiar stuff, and a lot of stuff you will never seen before with a Japanese twist."
21,5,19-Jul,Japan,Happiest place❤️,I went to Tokyo Disneyland last year and it is a magical place. Staff are all awesome and friendly. I would highly recommend anyone wanting to try to go. 
22,1,20-Feb,Philippines,Not for foreigners,"We went there on a Wednesday it was still too crowded filled with students and Japanese youth. Could not find any shows in English language. I know we’re in Japan but being a tourist attraction they should have considered this. We barely saw characters going around the park for meet and greet . It was difficult to communicate with the staff and sometimes they would just shoo you away if they couldn’t understand you. You would see a lot of families with their poor kids crying because of the long lines and unacceptable number of people around the park. I went to Disney world a couple of times, lots of people, long lines as well but not to the point that you couldn’t find anywhere or any rides to go to. Tokyo Disneyland was a crowded mess. Also, the main castle was on renovation. Not too much rides for the amount people that they let in. It’s just not meant for foreigners especially with kids because you will just end up frustrated. The light show in the end was spectacular, it was the only nice thing that ever happened while we were there."
23,5,19-Nov,N/A,Happiest place on Earth,"Visited both Tokyo Disneysea and Tokyo Disneyland, both are worth the visit and each one offers a different experience. I will definitely return."
24,1,20-Mar,N/A,Park is closed - cannot contact Disney for refund,I bought tickets for our holiday and then the park closed it's doors. I have been unable to get in contact with Disneyland Tokyo for weeks now after sending emails and calling. I am due a refund but have no idea if/how/when this will happen. Awful customer service - and this is before stepping anywhere near the gates!
25,1,20-Mar,France,Horrible communication,"We bought 3 day passports tickets earlier in February for March. When Disney closed we tried to get the refund. No email sent to guests who booked already, nothing on the website. They announce everyday day that a web form will be available soon but keep pushing the date foward. It will be soon 1 month since they closed and still no possibility to get refund, the lack of communication for such a big company is really disappointing."
26,5,19-Oct,United States,Great but CROWDED,"Tokyo Disneyland is amazing, though very CROWDED.  My wife and I are huge Disney fans and have gone to Disneyland in LA (about once/year), Disneyworld, Disneyland Paris, and Hong Kong Disneyland, and Tokyo Disneyland is definitely one of the best. While it’s INCREDIBLY CROWDED, the Japanese culture and people are so polite that it makes the (horrible) experience of standing in line much less horrible, stressful and annoying. The food at Tokyo Disneyland is also WAY better than any of the other Disneyland parks by far! If you like Japanese curry, definitely eat at the Bear Country restaurant. It’s really good!Another thing I found interesting is that people are really into popcorn at Tokyo Disneyland. I too am a HUGE popcorn fan and absolutely love it, though I didn’t find their popcorn to be that great. (10/2018)"
27,5,19-Apr,N/A,A must place to visit,"Will definitely return to visit. I never expected that I would want to visit this place again but really, it brings out the child in you. And that coming from a lady with young adult children. My children love it too."
28,4,19-Dec,Philippines,Tokyo Disneyland,"Tokyo Disneyland is amazing and certainly one of the best places on earth but comparing it with Disneyland HK, I find the latter more fascinating to visit than the former.  My ten cents..."
29,1,19-Oct,Australia,Nope,"Disneyland , should say it all but this place is over crowded hours waiting on rides don't bother unless you can get front of line tickets which is hard they don't  sell to foreigners "
30,5,19-Dec,Singapore,Wonderful Memories!,"Tokyo Disneyland has to be the happiest theme park I have been, possibly also because we were there during Christmas Day.You will be surprised that visitors actually started queueing at the entrance before 7am(opens at 8am). We didn’t queue up because we had the early entry ticket from Disneyland Hotel that allowed us to join a much shorter queue. The normal queue was so long by 7.30am that it actually looked like some zombie movies where the zombies were waiting to rush into the park!The place is really big and the mood was really awesome. Everyone was in Christmas mood and there was a huge Christmas tree greeting us at the entrance. We spent 1.5 days at Disneyland and enjoyed most of our rides.Fast passes are important because of the crowd and I definitely encourage the using of fast passes else you will probably only enjoy just a couple of rides in a day ( average queue of good rides are all between 2-3hours without fast passes).It is important to read in advance and plan your route/rides to make the most out of it. There are also real time apps to advise on queue timing so that you don’t have to walk all the way the ride to realise that it is shut down temporarily.There are rides for everyone; from child-friendly, fun rides to exciting roller coasters. The parades are also very nice and both adults and children enjoyed so much. We missed the fireworks because we were in a ride and heard that it was super beautiful.Overall it was a very fun experience and I will definitely recommend this!"
31,5,19-Mar,Japan,2/29~3/15まで　休演 closed from29th Feb to 15th March,いつも春休みに旅行を予定してましたが、2/29~3/15　2020年まで休園発表悲しすぎます。ホテル代などもどうなるんでしょうかね....we are planning for trip disneyland in next month but they are going to close 29th Feb to 15th March.now our vacation is gone. 
32,5,20-Feb,Australia,✨✨,A different world out there. Magical place to be with people or not. Recommend getting there early for fast passes.
33,5,19-Aug,Australia,Best Disneyland!,"I have been to Hong kong, Paris, & Tokyo disneyland and so far this has been my favourite. The park is very big but not too big, in my opinion perfect size for the majority of people to visit (teens, kids, young adults). Although not all staff spoke english everyone was so cheerful and smiling, signage really good, and everything was just set out well. Had a super fun day here with my japanese friend from tokyo, unforgettable time and would come back again with friends."
34,5,20-Feb,United States,the happiest on earth Japanese style.,"All the horror stories I read were not true. It might be because of the travel is down because of the corone virus. No crowds the longest wait for a ride we wanted to go on is 45 minutes. The employees are the greatest I have ever seen at an amusement part. They seem to be geniunely friendly, not forced friendly like other places. Most know english or try to speak some english. The only thing I didn't like was the lack of t-shirts and none available had japanese charecters, just english. Also no magnets or antenna balls. I understand that Americans are not their bread and butter here, but it would be cool to get a shirt in Japanese. It was fun to wave at people while on the rides. I did notice they camp out early for the parades."
35,3,19-Sep,N/A,Toyko Disney ...not much different than Disneyland ,"Pretty identical to Disneyland USA except with mostly Japanese people. Same great service, same high prices; worth it if your a Disney fan but not sure if it’s worth it otherwise. Disney Sea was sooo worth it. "
36,4,20-Feb,N/A,Tokyo Disneyland ,See notes on Disney sea...this was great park.  Not afraid to put more recent twists on rides including disney movie characters into appropriate areas of small world.  Handles crowds well.Surprised there were fewer clothing options when shopping.  Focus on smaller items like key chains was huge.
37,4,20-Feb,United Arab Emirates,"Busy, but a lot of fun...!","We were expecting it to be quiet on a Wednesday during school term but the place was pretty busy, with queues of over an hour on the bigger rides.However, plenty of the rides had short queues, the parade we saw was fantastic, the sun shone and it was altogether a great day out.The park is only 20 minutes on the train from Tokyo station in the center of the city so it is very easy to access.Loads of guests had made the effort to dress up for the day, which added to the occasion.On the downside, the towers on the main palace are covered in scaffolding and a new attraction - beauty and the beast, which looked spectacular - is not yet open.An excellent and reasonable value day out..."
38,4,20-Feb,United Kingdom,You need to be prepared...,"We visited this park and Disney Sea at one of the most off-peak times of the year. Overall we enjoyed ourselves but feel like we weren’t prepared enough and didn’t get the most out of it. Some points which are hopefully helpful:Disney Sea is by far the better themed of the two parks. It has been incredibly well done and has to be the most impressive park in the world. Just being there is an enjoyment, even without going on the rides. Disneyland is basically a copy of the original park with some minor differences (Main Street is really disappointing!). Crowds are huge! If you think the American parks are crowded then come here and see what crowded really means. We arrived 30 minutes before opening time at Disney Sea on a Thursday (not during holidays) and didn’t even get through the gates for 50 minutes. Be prepared for this as we spent 3 days at the parks and it wasn’t until the last day that we felt we weren’t a bit overwhelmed by it. You’ve just got to go with it and except that patience is key!On a similar note, get there early. The first half an hour is key to having a good day because you can quickly grab a FASTPASS for one of the headliners and get in line for another one. Within half an hour of opening time virtually all the headliners have queues in excess of 100 minutes (again - we were there off-peak) with soarin well over 3 hours, and fastpasses for some are either late into the evening or have already run out. Regarding the shows - lotteries are run for the popular ones and you can’t access them without ‘winning’. Whilst this seems fair in principle, the reality is that you could spend all that money on tickets and see absolutely nothing whilst someone else sees everything that want. We were there for 3 days and entered all available lotteries. On our last attempt we managed to snag tickets  but were pretty annoyed about it by this point. Apparently if you enter lotteries for a show just before they close it might make it more likely to get tickets.Finally, we found the food to be terrible and a real let down. The snacks were fun and different, but main meals were both very expensive and incredibly small. As an example, £12 for a (small) slice of pizza with a drink is the kind of thing you’re looking it. If it’s possible to pop out of the park at lunchtime to head back to the shopping centre at the station then this is highly recommended. Overall we enjoyed our time in Disney and the rating is based on that but in all honesty I can’t see it being fun at all at peak times. If you are only able to visit one of the parks then make it Disney Sea because Disneyland can be found at all the other locations (with half the queues!). The main points are that you need to plan properly for your trip to get the most out of it and that you need to get there super early in the morning. "
39,4,20-Feb,United Kingdom,Lovely theme park,"Similar to the USA and Paris one this one has a japanese flavour to it. Monsters go Seek is unique to Japan. Unlike Disneysea it's more for kids but still a great place to go for a day. Although some of the attractions are the same, the Japanese are very creative and take innovative ideas to the next level. Queues aren't as long as Disneysea but can still be couple of hours. The park is still lovely for fairy tale attractions and definitely Instagramable. But we are happy we did this as part of our Japan itineraryBut I would say if you only have a day at Disney go for Disneysea."
40,1,20-Feb,Australia,Disappointed ,"Fast pass system was a joke, it only allows you to use it once every 2hours. No maps provided on entry and parades throughout the day made it difficult to get to and from attractions. Variety of food was limited and any decent ride had a wait time of usually between 80 a 100 minutes. Staff were friendly and helpful. Possibly worth it if you have children up to 8yo, otherwise save your money.Steve"
41,5,20-Jan,Malaysia,Tokyo Disneyland 2020,This is the best Disneyland that I have ever been (compared to Paris and LA). The rides like Space Mountain are faster and more exciting! The animation are real life. Shame  that I did not have a chance to fo to Disneysea Resort. However there were a few rides like Thundermountain that wad closed. I would recommend it to everyone😀
42,5,20-Jan,Australia,Disney,Great day out it was a pity the castle is getting refurb but we still got some good photos of it. We headed to the Crystal Palace Restaurant for a late lunch/early dinner as they offered a buffet for 90min it only cost me $5100 yen for both of us. This disney is great and look forward to going again in the future.
43,4,20-Feb,Australia,Fun but too bad windy ,We had lots of fun at disneyland but too bad with the weather being very windy we didn't get to see the fireworks or the parade 
44,2,19-Nov,United Kingdom,Bit of a let down,"We opted to go disneyland sea as we heard it was the more aldut choice between it and the normal disneyland. The park itself was amazing. Very detailed and you can walk around marvelling at the different sections. What let's the park down are the rides. If you're just going for the rides like we were it will be a let down. Tower of terror was by far the best and that was quite quick. Stood in line for two hours for the indiana Jones ride and I can safely say it was the biggest waste of time ever. Compared to the likes of universal, the rides are for kids. Assume it would be a great day out for a young family but, although I'm a Disney fanatic, not for a mid 20s crowd"
45,5,19-Nov,Netherlands,Best Disney Parks Ever ! especially Disney Sea !!!,both parks are beautiful and intense ... we were there with the Disney Christmas Time season ... so Festive ! And the Christmas Shows @ Disney Sea ... wow! Best Disney shows ever ! 120/130 dancers and then a lot of Disney characters ... Wow... if you like shows... !!! Disney Sea ... way better than the US parks ... we fell in amazement into another amazement every time! oh and the little Mermaid show ... wow ... I worked 3 years for Disney Paris and Orlando ... but these Tokyo Disney Parks .... Amazing !!! oh an the Merchandise way better and the food and drinks menus so much more Mickey Head Style... Sooo Fun! instead of only the Mickey Head Style ice cream /apple / waffle ... thats way intense and more detailed and themed are the parks there 😃 it’s Not over done! but beautifuly done more ... it’s the Best kept Secret Disney Parks ... because a lot of people still don’t know that there are in Asia 3 Magic Kingdoms parks/lands
46,3,20-Jan,Australia,"Expensive, crowded but needed to ride the Star Wars ride so was worth it","Ok, so we went as family of four with two teenage boys and OMG, we went in Winter so god only knows how crowded this place would be in warmer weather, we did a four day pass to give a day here, a day in Disney Sea and then either park for the other two days, unfortunately we picked Wed, Thurs, Fri and Saturday and the Thursday turned out to be a Public holiday although the Saturday was worse. However even on a normal week day in middle of winter this place was packed and you can not even think about getting a go on everything. The line up to buy a Churro was 20mins, I'm not joking. And woman be prepared for long toilet queues. We were happy to find wait times around an hour but just didn't bother for the rides with two hour times.Disneyland and Disneysea had always been something we wanted to do and as a Star wars fan I got my value from just that ride, but although I've been to Universal Studios many many times in Singapore, I definitely won't go back here, just far too many people. I imagine locals with an annual pass are ok as they can go there for one ride. But not a place to get value from as a tourists."
47,5,19-Oct,Indonesia,I LOVE DISNEY!,You have to go to it the best! You're missing out! See Micky mouse and stay until night to see a magical parade! Ride the roller coasters!  I had a 100% awesome holiday here with all the yummy foods and gifts. Tip: By the fast pass for space mountain and the famous rides! 10/10...
48,5,20-Jan,N/A,Typical Disney,"We went with our son and daughter in law during a recent visit to Japan and we weren't disappointed. There was a long queue for entry with many lining up more than 90 mins before opening. Once through the gates I would advise trying to get a fast pass if there is a particular ride you want to go on or you may find you spend a lot of your day queueing up to get on. Waiting time for some of the more popular rides was over 2 hoursAs in most Disney's there's a wide variety of food available with a relatively short waiting time for service. The exception to this is the American Waffle House, we went for breakfast as soon as it opened and found ourselves at the head of a long queue that did not get any shorter throughout the day. That said, they were worth the waitWe only spent 1 day here and managed to achieve almost everything we set out to do."
49,5,19-Oct,Australia,Japan does it better,"I've been to Tokyo Disney Resort (TDR) several times now and these are my favorite Disney parks. TDR is not run by Disney, but by the Oriental Land Co., and this is probably a contributing factor. A definite Japanese spin on park management. A few things to note right out of the gate. Plan, plan, plan. If you want to get on all the rides, try to be there before rope drop. Figure out what rides you want to go on first - aim for big ticket items (Pooh's Hunny Hunt, Space Mountain, Big Thunder Mountain), get a fast pass for one then sprint like an Olympian to another and get in line. Your first 60 minutes should be a frenzy round. Be warned, the Japanese park-goers do not mess around with fastpasses. Big ticket rides can have their FP's wiped out within a couple hours on a medium capacity day. If you can, stay the night and / or purchase a vacation package (lots of extra inclusions like fast passes and show tickets) which really help in getting the most out of the day(s).Make sure you check the schedule if you want to see shows or meet characters, because the lines start early and get long. Ride maintenance is posted online clearly in advance, so take a look at that beforehand to make sure anything you want to see will be open. TDR takes ride safety very seriously, so there are always rides closed for maintenance. Something I've really noticed here is how popular these parks are with adults. If you're with a group of friends or solo it doesn't feel weird to be there without kids. It doesn't feel so ""family fun time only"" as some US parks do, Tokyo Disney is for ALL ages. It's also quite a popular thing for groups of friends to wear matching outfits...literally identical items of clothing, it's pretty cute. If you plan it right, 1 day at Disneyland and 1 day at DisneySea should be enough. There are different ticketing options available, take a look on the website. Try to avoid going on weekends, Tokyo Disney is considered ""a locals park"". High rate of annual pass users who live locally, this means weekends, public holidays and school holidays are crazy busy. Outside of those times you likely won't need to buy a ticket in advance as long as you are there for opening. If you plan on dining at a table service restaurant (Blue Bayou etc), then you need to book in advance, these bookings open 30 days out."
50,4,20-Jan,Australia,Much better for older kids,"Much more food options than disney sea, and even better rides with less waiting times than disney sea. "
51,5,19-Dec,Malaysia,Magical day in Disneyland,"We were there on a 2nd week of December 2019. Took about an hour train ride to reach Maihama station, collect our tickets and headed to the entrance. Despite it was a Tuesday, there were lot of people headed to Disneyland (or Disneysea), tourists and local alike. We headed to the Tomorrowland first, managed to get fast tickets to 'Monster Inc' while we ride on the Star Tours. Space Mountain was closed while we were there. We managed to catch the Christmas Parade at 10.30, ate our lunch and waited for the Dreamin Up Parade at 1.20pm and the Night 'Dreamlights' Parade too. (Tip: get a seat 1 hour before the Parade starts).We didn't have luck on the Lottery for both the Shows (located in Tomorrowland), hence we skipped those. We queue up for the Dumbo Ride in Fantasyland and managed to ride on Big Thunder Mountain (about 40-45 minutes queue) and went for rides with less queues; Toon Park, Island raft, Treehouse, Western Railroad, Pirates of the Carribean. Towards late afternoon, we noticed the groups of tourists had left, we went back to Tomorrowland and ride on Buzzlightyear with lesser queue. After the Parade, we managed to stay for the fireworks far left from the castle-with-no-sphere-and-under-refurbishment.)All in all, we were filled with Disney vibe to the brim, especially so for my youngest boy, his first Disneyland trip!"
52,4,19-Jun,Singapore,Amazing Disneyland,I wont rate this as the best Disney experience but my 6 year old girl still thoroughly enjoyed the visit. We were exhausted by the end of the day. Waiting time for some of the rides are long but they are all worth the wait. The only downside is that children's stories or narrations are done in Japanese.
53,5,20-Jan,Thailand,Tokyo Disneyland & DisneySea - Happiest place on earth,"Both parks - Tokyo Disneyland and DisneySea open from 9:00-22:00 during our visit early Jan2020.For those who be able to plan for 2 whole days to both parks is fantastic! If you have limited time, after  6 pm ticket will allow you to complete both parks even on 1 day. Therefore we would recommend you for 2 days plan. As our trip this time quite tight, we plan after6 ticket for Disneyland 1 day and a full whole day ticket for DisneySea.The evening ticket allow you to complete plenty of rides as shorter queue than day time and we really had a great time at Disney every single time visit. Please have fun and enjoy your time there. Cheers!"
54,2,20-Jan,Canada,I wish I could enjoyed much more,"We visited Tokyo Disneyland recently and to be honest I was very disappointed. It´s so different from every other Disney. Long lines to buy popcorn for instance could be easily solved by installing more popcorn spots around the park.... so much empty space to be used (something that I was simply astonished ....how much money they are just not making). And they could also be more prepared and have more employees with English skills, they try very hard but sometimes the communication is not easy at all. And this is not what you expect when you go Disney. "
55,4,19-Dec,Singapore,Charming Disneyland ,"This is my third visit to a Disney franchise, with Shanghai and Hong Kong being the two other Disneyland. The feeling of visiting the park is always mesmerising and surreal. The wait to take the rides were long (ie. 45min) but that’s to be expected at any Disneyland. We just have to be smart about using the fastpass. One minor challenge that one might face when visiting:-  Most of the rides’ narration are in Japanese. I am fine with that and am not ethnocentrically trying to insists that Tokyo Disneyland must cater to the English-speaking market. But it’ll be nice if they had."
56,4,20-Jan,Australia,The usual Disney Magic,"We chose Disneyland to go to over Disney Sea as we wanted the traditional Disney experience (not enough time to do both).The park is a little smaller than the one in LA which is not a bad thing.  We also carefully chose which day to go by looking at the various crowd heat maps available and for once it appeared spot on.  Also check which rides and attractions are closed - this also helped us to decide to do Disneyland as DisneySea did have some major ride closures on the day we were looking at.We arrived an hour before opening and there was already a very long queue to get in.   We managed our fast passes very efficiently throughout the day and were intrigued by the amount of parades and shows the park has but also with the amount of people who queue and wait for hours for these parades and shows (great if you like rides!)Tips:1. Try and go straight to Poohs Honey Hut and get a fast pass or if you’re quick enough go straight on the ride.  No other Disney has this ride and even as an adult, I thought it was fantastic.2. Stay as late as you can.  That last hour between 9pm and 10pm, we just went straight on a number of rides.3. Belles Castle is opening April 2020.  We saw some of the construction and this new part of the park is going to draw in the crowds for sure.  We would love to come back and see this some day."
57,5,20-Jan,Indonesia,Best disneyland ever visited,Went there during low season jan 7th after christmas and new year holiday so the crowd is in its lowest. Love it so much since not many crowd and the waiting time is very short but just hate it when we visited it was raining. But gotta love tokyo disneyland which its hospitality staff and the rides too. The food also good taste not like on other theme park. Too bad it was raining so the night parade was cancelled and some outdoor attraction was also cancelled. Overall experience was great. 
58,5,19-Dec,Indonesia,Great Experience,"I was visiting with my whole families, it was very rewarding experiences, my daughters were enjoying the popcorns and snacks, the food was reasonable and good. It was always an easy access to the theme park. Definitely will come back again in the future."
59,3,19-Dec,India,Caters mainly to the Japanese crowd,"I visited Tokyo Disneyland in the evening. The rides were fun, staff were generally helpful but at times strange/ uncomfortable. Many can't speak English and nod their heads with a smile and laugh which only makes it weird. I found the place lacked soul (of disney cartoons) in general. Visually it brought back childhood memories but I couldn't get absorbed in it because it's mainly tailored to the Japanese people. I'd advise visitors to try their evening pass to get a good glimpse before visiting for the entire day. They should rename the place to something else, not Disneyland. Good visuals overall though. There was some construction/ repair work going on when I visited in December.Accessibility is highly convenient by train and it gets a bit busy during the closing time, around 10 pm I think."
60,5,20-Jan,New Zealand,Great Disney Park,I have done all Disney Parks bar Shanghai now and this is a fairly typical Disney Land park with all your favourite classics and a few new ones. As with Disney Sea you need a full two days minimum to fully experience it and need to properly use the free fast pass tickets. Need to arrive early as the crowds are huge (see photo) just to get in. 
61,5,19-Dec,Australia,Absolutely Fantastic,Visited by myself in December 2019.  Easy to get to by train.  A full on fun day.  Did a few rides. Food reasonable and good.  Had a ball and would definitely go back again.  Fun for all ages.
